Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2015-2016,All,20 and over,Hispanic,Vitamin D,4.7,0.2,4.4,5.0,,,,
2015-2016,All,20 and over,Mexican American,Vitamin D,4.9,0.2,4.5,5.3,,,,
2015-2016,All,20-29,All,Vitamin D,4.7,0.3,4.0,5.3,,,,
2015-2016,All,30-39,All,Vitamin D,5.0,0.6,3.8,6.3,,,,
2015-2016,All,40-49,All,Vitamin D,4.8,0.3,4.1,5.5,,,,
2015-2016,All,50-59,All,Vitamin D,4.6,0.3,4.0,5.2,,,,
2015-2016,All,60-69,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
2015-2016,All,70 and over,All,Vitamin D,4.7,0.3,4.2,5.3,,,,
2015-2016,Female,2-19,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
2015-2016,Female,2-5,All,Vitamin D,5.5,0.4,4.8,6.2,,,,
2015-2016,Female,6-11,All,Vitamin D,5.4,0.3,4.7,6.0,,,,
2015-2016,Female,12-19,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
2015-2016,Female,20 and over,All,Vitamin D,4.3,0.2,4.0,4.6,,,,
2015-2016,Female,20-29,All,Vitamin D,4.1,0.4,3.4,4.9,,,,
2015-2016,Female,30-39,All,Vitamin D,4.5,0.4,3.7,5.3,,,,
2015-2016,Female,40-49,All,Vitamin D,4.6,0.5,3.5,5.6,,,,
2015-2016,Female,50-59,All,Vitamin D,4.1,0.4,3.3,4.9,,,,
2015-2016,Female,60-69,All,Vitamin D,4.1,0.4,3.4,4.9,,,,
2015-2016,Female,70 and over,All,Vitamin D,4.2,0.4,3.4,5.0,,,,
2015-2016,Male,2-19,All,Vitamin D,5.7,0.4,4.9,6.6,,,,
2015-2016,Male,2-5,All,Vitamin D,6.0,0.3,5.4,6.6,,,,
2015-2016,Male,6-11,All,Vitamin D,5.6,0.3,5.0,6.3,,,,
2015-2016,Male,12-19,All,Vitamin D,5.7,0.4,4.9,6.6,,,,
2015-2016,Male,20 and over,All,Vitamin D,5.1,0.2,4.7,5.6,,,,
2015-2016,Male,20-29,All,Vitamin D,5.2,0.4,4.4,6.0,,,,
2015-2016,Male,30-39,All,Vitamin D,5.6,1.0,3.6,7.6,,,,
2015-2016,Male,40-49,All,Vitamin D,5.1,0.4,4.4,5.8,,,,
2015-2016,Male,50-59,All,Vitamin D,5.1,0.6,4.0,6.3,,,,
2015-2016,Male,60-69,All,Vitamin D,4.3,0.4,3.6,5.0,,,,
2015-2016,Male,70 and over,All,Vitamin D,5.4,0.4,4.7,6.1,,,,
2017-2018,All,2-19,All,Calcium,950.8,21.2,992.6,908.9,,,,
2017-2018,All,2-19,Non-Hispanic White,Calcium,967.7,32.6,1032.1,903.2,,,,
2017-2018,All,2-19,Non-Hispanic Black,Calcium,906.0,63.3,1031.0,781.0,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Calcium,819.4,56.7,931.4,707.4,,,,
2017-2018,All,2-19,Hispanic,Calcium,970.5,38.7,1047.0,894.0,,,,
2017-2018,All,2-19,Mexican American,Calcium,1011.4,40.2,1090.9,931.9,,,,
2017-2018,All,2-5,All,Calcium,959.5,33.7,892.9,1026.0,,,,
2017-2018,All,6-11,All,Calcium,1012.5,30.9,951.5,1073.5,,,,
2017-2018,All,12-19,All,Calcium,950.8,21.2,908.9,992.6,,,,
2017-2018,All,20 and over,All,Calcium,966.1,14.6,995.0,937.3,,,,
2017-2018,All,20 and over,Non-Hispanic White,Calcium,992.6,18.7,1029.6,955.6,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Calcium,852.1,20.6,892.7,811.6,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Calcium,829.4,23.6,875.9,782.8,,,,
2017-2018,All,20 and over,Hispanic,Calcium,989.2,34.7,1057.8,920.6,,,,
2017-2018,All,20 and over,Mexican American,Calcium,1020.2,33.9,1087.1,953.3,,,,
2017-2018,All,20-29,All,Calcium,1034.9,28.9,977.8,1092.1,,,,
2017-2018,All,30-39,All,Calcium,993.0,29.0,935.6,1050.3,,,,
2017-2018,All,40-49,All,Calcium,996.6,51.3,895.2,1098.0,,,,
2017-2018,All,50-59,All,Calcium,970.1,27.9,915.0,1025.1,,,,
2017-2018,All,60-69,All,Calcium,905.6,43.3,820.1,991.0,,,,
2017-2018,All,70 and over,All,Calcium,866.6,26.0,815.2,918.0,,,,
2017-2018,Female,2-19,All,Calcium,813.4,27.2,867.2,759.6,,,,
2017-2018,Female,2-5,All,Calcium,906.0,46.3,814.5,997.5,,,,
2017-2018,Female,6-11,All,Calcium,957.4,32.5,893.2,1021.6,,,,
2017-2018,Female,12-19,All,Calcium,813.4,27.2,759.6,867.2,,,,
2017-2018,Female,20 and over,All,Calcium,856.9,19.0,894.4,819.3,,,,
2017-2018,Female,20-29,All,Calcium,932.8,34.7,864.2,1001.4,,,,
2017-2018,Female,30-39,All,Calcium,862.1,26.2,810.3,913.8,,,,
2017-2018,Female,40-49,All,Calcium,862.9,39.2,785.5,940.2,,,,
2017-2018,Female,50-59,All,Calcium,854.1,45.2,764.7,943.4,,,,
2017-2018,Female,60-69,All,Calcium,830.9,45.2,741.5,920.2,,,,
2017-2018,Female,70 and over,All,Calcium,783.9,26.7,731.2,836.7,,,,
2017-2018,Male,2-19,All,Calcium,1078.9,32.2,1142.4,1015.4,,,,
2017-2018,Male,2-5,All,Calcium,1011.3,54.8,903.0,1119.5,,,,
2017-2018,Male,6-11,All,Calcium,1066.0,45.5,976.1,1155.9,,,,
2017-2018,Male,12-19,All,Calcium,1078.9,32.2,1015.4,1142.4,,,,
2017-2018,Male,20 and over,All,Calcium,1084.5,19.1,1122.2,1046.7,,,,
2017-2018,Male,20-29,All,Calcium,1135.7,56.7,1023.6,1247.7,,,,
2017-2018,Male,30-39,All,Calcium,1140.3,48.4,1044.8,1235.8,,,,
2017-2018,Male,40-49,All,Calcium,1129.4,87.9,955.8,1303.0,,,,
2017-2018,Male,50-59,All,Calcium,1093.6,31.2,1032.1,1155.2,,,,
2017-2018,Male,60-69,All,Calcium,992.3,50.4,892.8,1091.9,,,,
2017-2018,Male,70 and over,All,Calcium,967.7,43.8,881.2,1054.2,,,,
2017-2018,All,2-19,All,Dietary Fiber,14.6,0.4,15.4,13.8,,,,
2017-2018,All,2-19,Non-Hispanic White,Dietary Fiber,14.2,0.8,15.8,12.5,,,,
2017-2018,All,2-19,Non-Hispanic Black,Dietary Fiber,13.0,0.9,14.7,11.3,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Dietary Fiber,16.5,1.0,18.6,14.5,,,,
2017-2018,All,2-19,Hispanic,Dietary Fiber,15.8,0.6,16.9,14.6,,,,
2017-2018,All,2-19,Mexican American,Dietary Fiber,16.7,0.4,17.5,15.9,,,,
2017-2018,All,2-5,All,Dietary Fiber,12.1,0.3,11.5,12.8,,,,
2017-2018,All,6-11,All,Dietary Fiber,14.8,0.4,13.9,15.6,,,,
2017-2018,All,12-19,All,Dietary Fiber,14.6,0.4,13.8,15.4,,,,
2017-2018,All,20 and over,All,Dietary Fiber,16.9,0.4,17.6,16.1,,,,
2017-2018,All,20 and over,Non-Hispanic White,Dietary Fiber,16.2,0.4,17.1,15.3,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Dietary Fiber,14.1,0.3,14.7,13.6,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Dietary Fiber,20.4,0.9,22.3,18.6,,,,
2017-2018,All,20 and over,Hispanic,Dietary Fiber,19.9,0.6,21.1,18.7,,,,
2017-2018,All,20 and over,Mexican American,Dietary Fiber,20.3,0.9,22.0,18.6,,,,
2017-2018,All,20-29,All,Dietary Fiber,16.2,0.5,15.1,17.2,,,,
2017-2018,All,30-39,All,Dietary Fiber,17.7,0.7,16.3,19.1,,,,
2017-2018,All,40-49,All,Dietary Fiber,16.9,0.6,15.6,18.1,,,,
2017-2018,All,50-59,All,Dietary Fiber,17.2,0.7,15.7,18.6,,,,
2017-2018,All,60-69,All,Dietary Fiber,16.4,0.7,15.0,17.8,,,,
2017-2018,All,70 and over,All,Dietary Fiber,16.8,0.5,15.8,17.9,,,,
2017-2018,Female,2-19,All,Dietary Fiber,13.5,0.6,14.6,12.4,,,,
2017-2018,Female,2-5,All,Dietary Fiber,11.8,0.5,10.9,12.7,,,,
2017-2018,Female,6-11,All,Dietary Fiber,14.6,0.4,13.7,15.5,,,,
2017-2018,Female,12-19,All,Dietary Fiber,13.5,0.6,12.4,14.6,,,,
2017-2018,Female,20 and over,All,Dietary Fiber,15.5,0.4,16.3,14.6,,,,
2017-2018,Female,20-29,All,Dietary Fiber,15.7,0.6,14.4,16.9,,,,
2017-2018,Female,30-39,All,Dietary Fiber,15.7,0.7,14.4,17.1,,,,
2017-2018,Female,40-49,All,Dietary Fiber,15.0,0.9,13.2,16.8,,,,
2017-2018,Female,50-59,All,Dietary Fiber,14.9,1.0,12.9,16.9,,,,
2017-2018,Female,60-69,All,Dietary Fiber,15.5,0.9,13.8,17.2,,,,
2017-2018,Female,70 and over,All,Dietary Fiber,16.0,0.8,14.5,17.5,,,,
2017-2018,Male,2-19,All,Dietary Fiber,15.7,0.5,16.6,14.7,,,,
2017-2018,Male,2-5,All,Dietary Fiber,12.4,0.5,11.4,13.5,,,,
2017-2018,Male,6-11,All,Dietary Fiber,14.9,0.9,13.2,16.6,,,,
2017-2018,Male,12-19,All,Dietary Fiber,15.7,0.5,14.7,16.6,,,,
2017-2018,Male,20 and over,All,Dietary Fiber,18.4,0.4,19.1,17.6,,,,
2017-2018,Male,20-29,All,Dietary Fiber,16.7,0.8,15.1,18.2,,,,
2017-2018,Male,30-39,All,Dietary Fiber,19.8,1.0,17.9,21.8,,,,
2017-2018,Male,40-49,All,Dietary Fiber,18.7,0.9,17.0,20.5,,,,
2017-2018,Male,50-59,All,Dietary Fiber,19.6,0.8,18.0,21.2,,,,
2017-2018,Male,60-69,All,Dietary Fiber,17.5,0.7,16.1,18.8,,,,
2017-2018,Male,70 and over,All,Dietary Fiber,17.9,0.9,16.2,19.6,,,,
2017-2018,All,2-19,All,Iron,13.9,0.3,14.5,13.3,,,,
2017-2018,All,2-19,Non-Hispanic White,Iron,13.7,0.7,15.0,12.4,,,,
2017-2018,All,2-19,Non-Hispanic Black,Iron,13.6,0.8,15.1,12.1,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Iron,13.7,0.6,14.9,12.4,,,,
2017-2018,All,2-19,Hispanic,Iron,14.3,0.9,16.0,12.6,,,,
2017-2018,All,2-19,Mexican American,Iron,15.3,0.8,16.8,13.8,,,,
2017-2018,All,2-5,All,Iron,10.4,0.3,9.9,11.0,,,,
2017-2018,All,6-11,All,Iron,14.1,0.4,13.4,14.8,,,,
2017-2018,All,12-19,All,Iron,13.9,0.3,13.3,14.5,,,,
2017-2018,All,20 and over,All,Iron,14.2,0.2,14.6,13.8,,,,
2017-2018,All,20 and over,Non-Hispanic White,Iron,14.2,0.3,14.8,13.7,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Iron,13.0,0.4,13.7,12.3,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Iron,13.7,0.5,14.6,12.8,,,,
2017-2018,All,20 and over,Hispanic,Iron,14.8,0.4,15.5,14.0,,,,
2017-2018,All,20 and over,Mexican American,Iron,14.9,0.5,15.9,13.9,,,,
2017-2018,All,20-29,All,Iron,14.2,0.3,13.6,14.9,,,,
2017-2018,All,30-39,All,Iron,14.4,0.3,13.9,14.9,,,,
2017-2018,All,40-49,All,Iron,14.7,0.6,13.6,15.8,,,,
2017-2018,All,50-59,All,Iron,14.4,0.5,13.4,15.3,,,,
2017-2018,All,60-69,All,Iron,13.4,0.3,12.9,14.0,,,,
2017-2018,All,70 and over,All,Iron,14.0,0.5,12.9,15.0,,,,
2017-2018,Female,2-19,All,Iron,12.2,0.4,13.0,11.4,,,,
2017-2018,Female,2-5,All,Iron,10.0,0.4,9.2,10.8,,,,
2017-2018,Female,6-11,All,Iron,13.4,0.4,12.7,14.2,,,,
2017-2018,Female,12-19,All,Iron,12.2,0.4,11.4,13.0,,,,
2017-2018,Female,20 and over,All,Iron,12.3,0.3,12.9,11.8,,,,
2017-2018,Female,20-29,All,Iron,12.6,0.5,11.6,13.6,,,,
2017-2018,Female,30-39,All,Iron,12.5,0.2,12.1,12.9,,,,
2017-2018,Female,40-49,All,Iron,12.6,0.7,11.3,13.9,,,,
2017-2018,Female,50-59,All,Iron,12.1,0.7,10.7,13.6,,,,
2017-2018,Female,60-69,All,Iron,11.6,0.3,11.0,12.2,,,,
2017-2018,Female,70 and over,All,Iron,12.8,0.6,11.5,14.0,,,,
2017-2018,Male,2-19,All,Iron,15.5,0.5,16.4,14.5,,,,
2017-2018,Male,2-5,All,Iron,10.9,0.4,10.0,11.7,,,,
2017-2018,Male,6-11,All,Iron,14.8,0.6,13.5,16.0,,,,
2017-2018,Male,12-19,All,Iron,15.5,0.5,14.5,16.4,,,,
2017-2018,Male,20 and over,All,Iron,16.2,0.2,16.7,15.8,,,,
2017-2018,Male,20-29,All,Iron,15.8,0.6,14.6,17.1,,,,
2017-2018,Male,30-39,All,Iron,16.6,0.6,15.4,17.8,,,,
2017-2018,Male,40-49,All,Iron,16.9,0.8,15.2,18.5,,,,
2017-2018,Male,50-59,All,Iron,16.7,0.6,15.5,18.0,,,,
2017-2018,Male,60-69,All,Iron,15.6,0.5,14.6,16.6,,,,
2017-2018,Male,70 and over,All,Iron,15.4,0.6,14.2,16.7,,,,
2017-2018,All,2-19,All,Potassium,2105.5,32.7,2170.1,2040.9,,,,
2017-2018,All,2-19,Non-Hispanic White,Potassium,2184.1,105.1,2391.8,1976.5,,,,
2017-2018,All,2-19,Non-Hispanic Black,Potassium,2079.6,115.4,2307.6,1851.5,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Potassium,2231.7,99.2,2427.7,2035.6,,,,
2017-2018,All,2-19,Hispanic,Potassium,2146.1,86.1,2316.3,1975.9,,,,
2017-2018,All,2-19,Mexican American,Potassium,2233.1,68.0,2367.4,2098.8,,,,
2017-2018,All,2-5,All,Potassium,1997.1,36.5,1925.0,2069.1,,,,
2017-2018,All,6-11,All,Potassium,2088.9,43.3,2003.3,2174.4,,,,
2017-2018,All,12-19,All,Potassium,2168.9,59.9,2050.6,2287.3,,,,
2017-2018,All,20 and over,All,Potassium,2618.2,37.5,2692.3,2544.1,,,,
2017-2018,All,20 and over,Non-Hispanic White,Potassium,2638.5,50.5,2738.3,2538.8,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Potassium,2277.7,45.0,2366.5,2188.8,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Potassium,2694.6,80.5,2853.6,2535.5,,,,
2017-2018,All,20 and over,Hispanic,Potassium,2706.3,75.7,2855.8,2556.7,,,,
2017-2018,All,20 and over,Mexican American,Potassium,2662.5,78.4,2817.3,2507.7,,,,
2017-2018,All,20-29,All,Potassium,2477.1,69.9,2339.1,2615.1,,,,
2017-2018,All,30-39,All,Potassium,2654.1,58.8,2537.9,2770.2,,,,
2017-2018,All,40-49,All,Potassium,2671.4,79.1,2515.2,2827.6,,,,
2017-2018,All,50-59,All,Potassium,2678.9,92.7,2495.9,2862.0,,,,
2017-2018,All,60-69,All,Potassium,2617.0,76.0,2466.9,2767.2,,,,
2017-2018,All,70 and over,All,Potassium,2621.7,63.2,2496.9,2746.6,,,,
2017-2018,Female,2-19,All,Potassium,1944.4,33.9,2011.3,1877.4,,,,
2017-2018,Female,2-5,All,Potassium,1901.7,61.9,1779.5,2024.0,,,,
2017-2018,Female,6-11,All,Potassium,2051.2,64.8,1923.1,2179.3,,,,
2017-2018,Female,12-19,All,Potassium,1884.5,59.9,1766.2,2002.9,,,,
2017-2018,Female,20 and over,All,Potassium,2324.3,52.8,2428.7,2219.9,,,,
2017-2018,Female,20-29,All,Potassium,2308.7,92.1,2126.6,2490.7,,,,
2017-2018,Female,30-39,All,Potassium,2309.6,87.1,2137.5,2481.7,,,,
2017-2018,Female,40-49,All,Potassium,2287.6,79.2,2131.1,2444.0,,,,
2017-2018,Female,50-59,All,Potassium,2345.9,120.4,2108.1,2583.8,,,,
2017-2018,Female,60-69,All,Potassium,2364.3,87.6,2191.2,2537.4,,,,
2017-2018,Female,70 and over,All,Potassium,2328.6,69.6,2191.0,2466.1,,,,
2017-2018,Male,2-19,All,Potassium,2259.1,49.8,2357.5,2160.6,,,,
2017-2018,Male,2-5,All,Potassium,2089.4,81.8,1927.8,2251.0,,,,
2017-2018,Male,6-11,All,Potassium,2125.5,56.3,2014.3,2236.7,,,,
2017-2018,Male,12-19,All,Potassium,2434.2,86.1,2264.1,2604.3,,,,
2017-2018,Male,20 and over,All,Potassium,2936.5,37.3,3010.2,2862.9,,,,
2017-2018,Male,20-29,All,Potassium,2643.3,116.1,2414.0,2872.6,,,,
2017-2018,Male,30-39,All,Potassium,3041.7,82.5,2878.9,3204.6,,,,
2017-2018,Male,40-49,All,Potassium,3052.6,141.8,2772.4,3332.8,,,,
2017-2018,Male,50-59,All,Potassium,3033.6,79.9,2875.7,3191.5,,,,
2017-2018,Male,60-69,All,Potassium,2910.5,90.7,2731.3,3089.8,,,,
2017-2018,Male,70 and over,All,Potassium,2980.6,112.0,2759.4,3201.9,,,,
2017-2018,All,2-19,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,2-19,Non-Hispanic White,Saturated Fat,28.3,0.4,27.5,29.1,,,,
2017-2018,All,2-19,Non-Hispanic Black,Saturated Fat,28.4,1.6,25.1,31.6,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Saturated Fat,25.7,1.8,22.3,29.2,,,,
2017-2018,All,2-19,Hispanic,Saturated Fat,25.2,1.0,23.3,27.1,,,,
2017-2018,All,2-19,Mexican American,Saturated Fat,26.2,1.2,23.9,28.6,,,,
2017-2018,All,2-5,All,Saturated Fat,20.5,0.5,19.5,21.5,,,,
2017-2018,All,6-11,All,Saturated Fat,26.9,0.7,25.4,28.3,,,,
2017-2018,All,12-19,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,20 and over,All,Saturated Fat,28.7,0.3,28.0,29.3,,,,
2017-2018,All,20 and over,Non-Hispanic White,Saturated Fat,30.0,0.5,29.1,31.0,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Saturated Fat,27.0,0.6,25.9,28.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Saturated Fat,22.0,0.6,20.7,23.2,,,,
2017-2018,All,20 and over,Hispanic,Saturated Fat,26.8,0.8,25.2,28.3,,,,
2017-2018,All,20 and over,Mexican American,Saturated Fat,27.3,0.7,25.9,28.7,,,,
2017-2018,All,20-29,All,Saturated Fat,29.5,0.8,28.0,31.0,,,,
2017-2018,All,30-39,All,Saturated Fat,29.4,0.8,27.7,31.0,,,,
2017-2018,All,40-49,All,Saturated Fat,30.1,1.1,27.9,32.3,,,,
2017-2018,All,50-59,All,Saturated Fat,28.3,0.7,26.8,29.7,,,,
2017-2018,All,60-69,All,Saturated Fat,28.8,1.2,26.5,31.1,,,,
2017-2018,All,70 and over,All,Saturated Fat,25.7,0.8,24.2,27.2,,,,
2017-2018,Female,2-19,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,2-5,All,Saturated Fat,18.5,0.8,16.8,20.1,,,,
2017-2018,Female,6-11,All,Saturated Fat,25.7,0.6,24.4,26.9,,,,
2017-2018,Female,12-19,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,20 and over,All,Saturated Fat,24.7,0.5,23.8,25.7,,,,
2017-2018,Female,20-29,All,Saturated Fat,27.5,0.7,26.2,28.8,,,,
2017-2018,Female,30-39,All,Saturated Fat,25.0,0.9,23.2,26.7,,,,
2017-2018,Female,40-49,All,Saturated Fat,26.0,1.6,22.9,29.1,,,,
2017-2018,Female,50-59,All,Saturated Fat,24.1,1.3,21.5,26.6,,,,
2017-2018,Female,60-69,All,Saturated Fat,23.4,1.3,20.7,26.1,,,,
2017-2018,Female,70 and over,All,Saturated Fat,22.0,0.8,20.4,23.5,,,,
2017-2018,Male,2-19,All,Saturated Fat,31.0,0.7,29.6,32.3,,,,
2017-2018,Male,2-5,All,Saturated Fat,22.5,0.9,20.7,24.2,,,,
2017-2018,Male,6-11,All,Saturated Fat,28.1,1.0,26.0,30.1,,,,
2017-2018,Male,12-19,All,Saturated Fat,31.0,0.7,29.6,32.3,,,,
2017-2018,Male,20 and over,All,Saturated Fat,33.0,0.4,32.2,33.8,,,,
2017-2018,Male,20-29,All,Saturated Fat,31.4,1.2,29.1,33.8,,,,
2017-2018,Male,30-39,All,Saturated Fat,34.3,1.5,31.3,37.3,,,,
2017-2018,Male,40-49,All,Saturated Fat,34.1,1.6,31.0,37.3,,,,
2017-2018,Male,50-59,All,Saturated Fat,32.8,1.2,30.4,35.1,,,,
2017-2018,Male,60-69,All,Saturated Fat,35.0,1.5,32.0,38.0,,,,
2017-2018,Male,70 and over,All,Saturated Fat,30.3,1.3,27.7,32.8,,,,
2017-2018,All,2-19,All,Sodium,3320.1,81.3,3159.4,3480.8,,,,
2017-2018,All,2-19,Non-Hispanic White,Sodium,3368.4,145.7,3080.7,3656.2,,,,
2017-2018,All,2-19,Non-Hispanic Black,Sodium,3344.4,186.5,2976.0,3712.9,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Sodium,3379.7,188.2,3008.0,3751.4,,,,
2017-2018,All,2-19,Hispanic,Sodium,3149.9,92.3,2967.6,3332.2,,,,
2017-2018,All,2-19,Mexican American,Sodium,3309.0,91.6,3128.0,3489.9,,,,
2017-2018,All,2-5,All,Sodium,2170.9,58.3,2055.8,2286.1,,,,
2017-2018,All,6-11,All,Sodium,2899.3,86.0,2729.5,3069.2,,,,
2017-2018,All,12-19,All,Sodium,3320.1,81.3,3159.4,3480.8,,,,
2017-2018,All,20 and over,All,Sodium,3531.0,38.5,3454.9,3607.2,,,,
2017-2018,All,20 and over,Non-Hispanic White,Sodium,3526.2,62.2,3403.4,3649.1,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Sodium,3395.6,55.5,3286.0,3505.2,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Sodium,3570.6,110.3,3352.8,3788.5,,,,
2017-2018,All,20 and over,Hispanic,Sodium,3603.2,88.2,3429.1,3777.4,,,,
2017-2018,All,20 and over,Mexican American,Sodium,3678.3,84.2,3512.0,3844.6,,,,
2017-2018,All,20-29,All,Sodium,3775.2,94.6,3588.2,3962.2,,,,
2017-2018,All,30-39,All,Sodium,3741.1,74.3,3594.3,3887.9,,,,
2017-2018,All,40-49,All,Sodium,3617.6,120.2,3380.1,3855.1,,,,
2017-2018,All,50-59,All,Sodium,3492.3,122.2,3250.8,3733.8,,,,
2017-2018,All,60-69,All,Sodium,3390.2,86.3,3219.8,3560.7,,,,
2017-2018,All,70 and over,All,Sodium,3050.5,54.3,2943.3,3157.8,,,,
2017-2018,Female,2-19,All,Sodium,2872.7,112.0,2651.4,3094.0,,,,
2017-2018,Female,2-5,All,Sodium,1994.0,56.6,1882.3,2105.7,,,,
2017-2018,Female,6-11,All,Sodium,2742.0,99.6,2545.3,2938.8,,,,
2017-2018,Female,12-19,All,Sodium,2872.7,112.0,2651.4,3094.0,,,,
2017-2018,Female,20 and over,All,Sodium,2986.6,46.2,2895.3,3077.8,,,,
2017-2018,Female,20-29,All,Sodium,3325.7,77.1,3173.4,3478.0,,,,
2017-2018,Female,30-39,All,Sodium,3149.5,80.9,2989.6,3309.4,,,,
2017-2018,Female,40-49,All,Sodium,2983.9,123.9,2739.2,3228.6,,,,
2017-2018,Female,50-59,All,Sodium,2843.3,156.7,2533.8,3152.8,,,,
2017-2018,Female,60-69,All,Sodium,2838.1,86.6,2667.0,3009.2,,,,
2017-2018,Female,70 and over,All,Sodium,2723.4,84.7,2556.1,2890.6,,,,
2017-2018,Male,2-19,All,Sodium,3737.4,101.0,3537.8,3937.0,,,,
2017-2018,Male,2-5,All,Sodium,2342.2,93.5,2157.6,2526.9,,,,
2017-2018,Male,6-11,All,Sodium,3052.1,99.9,2854.7,3249.5,,,,
2017-2018,Male,12-19,All,Sodium,3737.4,101.0,3537.8,3937.0,,,,
2017-2018,Male,20 and over,All,Sodium,4120.6,57.1,4007.9,4233.3,,,,
2017-2018,Male,20-29,All,Sodium,4218.6,185.8,3851.6,4585.6,,,,
2017-2018,Male,30-39,All,Sodium,4406.9,129.2,4151.7,4662.1,,,,
2017-2018,Male,40-49,All,Sodium,4246.9,182.7,3885.9,4607.9,,,,
2017-2018,Male,50-59,All,Sodium,4183.6,167.6,3852.5,4514.7,,,,
2017-2018,Male,60-69,All,Sodium,4031.4,135.6,3763.5,4299.4,,,,
2017-2018,Male,70 and over,All,Sodium,3451.0,81.2,3290.5,3611.4,,,,
2017-2018,All,2-19,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,2-19,Non-Hispanic White,Vitamin D,4.2,0.4,3.5,4.8,,,,
2017-2018,All,2-19,Non-Hispanic Black,Vitamin D,3.9,0.3,3.2,4.5,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Vitamin D,4.6,0.6,3.5,5.6,,,,
2017-2018,All,2-19,Hispanic,Vitamin D,4.5,0.4,3.7,5.3,,,,
2017-2018,All,2-19,Mexican American,Vitamin D,4.8,0.4,3.9,5.7,,,,
2017-2018,All,2-5,All,Vitamin D,5.3,0.2,4.9,5.7,,,,
2017-2018,All,6-11,All,Vitamin D,5.0,0.2,4.7,5.3,,,,
2017-2018,All,12-19,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,20 and over,All,Vitamin D,4.2,0.1,3.9,4.5,,,,
2017-2018,All,20 and over,Non-Hispanic White,Vitamin D,4.2,0.2,3.8,4.6,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Vitamin D,4.9,0.4,4.2,5.7,,,,
2017-2018,All,20 and over,Hispanic,Vitamin D,4.3,0.2,3.8,4.8,,,,
2017-2018,All,20 and over,Mexican American,Vitamin D,4.3,0.2,3.9,4.8,,,,
2017-2018,All,20-29,All,Vitamin D,4.3,0.3,3.8,4.8,,,,
2017-2018,All,30-39,All,Vitamin D,3.8,0.3,3.3,4.3,,,,
2017-2018,All,40-49,All,Vitamin D,4.1,0.3,3.5,4.6,,,,
2017-2018,All,50-59,All,Vitamin D,4.0,0.3,3.4,4.5,,,,
2017-2018,All,60-69,All,Vitamin D,4.2,0.4,3.5,4.9,,,,
2017-2018,All,70 and over,All,Vitamin D,5.1,0.5,4.1,6.2,,,,
2017-2018,Female,2-19,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,2-5,All,Vitamin D,5.1,0.3,4.5,5.7,,,,
2017-2018,Female,6-11,All,Vitamin D,4.7,0.2,4.3,5.1,,,,
2017-2018,Female,12-19,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,20 and over,All,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,Female,20-29,All,Vitamin D,3.8,0.3,3.2,4.3,,,,
2017-2018,Female,30-39,All,Vitamin D,3.3,0.3,2.8,3.9,,,,
2017-2018,Female,40-49,All,Vitamin D,3.8,0.3,3.3,4.4,,,,
2017-2018,Female,50-59,All,Vitamin D,3.6,0.4,2.9,4.3,,,,
2017-2018,Female,60-69,All,Vitamin D,3.6,0.4,2.9,4.4,,,,
2017-2018,Female,70 and over,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
